"YR","DOY","HR","Time.id","USTAR_1","WS_1","W_SIGMA_1","MO_LENGTH_1","WD_1","z0d","hc","zm_1"
2011,1,0.5,2011.000057,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,1,1,2011.000114,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,1,1.5,2011.000171,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,1,2,2011.000228,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,1,2.5,2011.000285,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,1,3,2011.000342,0.274,3.119,-9999,65.440740854168,254.701,-9999,-9999,2
2011,1,3.5,2011.000398,0.343,4.664,-9999,114.40501742359,243.455,-9999,-9999,2
2011,1,4,2011.000455,0.217,3.89,-9999,33.0749796593679,221.3,-9999,-9999,2
2011,1,4.5,2011.000512,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,1,5,2011.000569,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,1,5.5,2011.000626,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,1,6,2011.000683,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,1,6.5,2011.00074,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,1,7,2011.000797,0.284,5.565,-9999,109.259402909573,228.767,-9999,-9999,2
2011,1,7.5,2011.000854,0.292,5.094,-9999,108.829455087128,229.402,-9999,-9999,2
2011,1,8,2011.000911,0.263,5.204,-9999,85.467679273201,227.526,-9999,-9999,2
2011,1,8.5,2011.000968,0.321,5.463,-9999,133.459322146076,227.84,-9999,-9999,2
2011,1,9,2011.001025,0.288,5.027,-9999,116.854191684254,233.182,-9999,-9999,2
2011,1,9.5,2011.001082,0.236,4.17,-9999,88.1695496865128,230.461,-9999,-9999,2
2011,1,10,2011.001138,0.249,4.162,-9999,125.066228607316,237.455,-9999,-9999,2
2011,1,10.5,2011.001195,0.251,3.385,-9999,49.5252555616437,252.625,-9999,-9999,2
2011,1,11,2011.001252,0.335,4.786,-9999,46.9525318074044,280.713,-9999,-9999,2
2011,1,11.5,2011.001309,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,1,12,2011.001366,0.326,6.185,-9999,225.475188331653,292.317,-9999,-9999,2
2011,1,12.5,2011.001423,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,1,13,2011.00148,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,1,13.5,2011.001537,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,1,14,2011.001594,0.237,4.495,-9999,267.256862683054,281.155,-9999,-9999,2
2011,1,14.5,2011.001651,0.255,5.259,-9999,247.628926943338,279.106,-9999,-9999,2
2011,1,15,2011.001708,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,1,15.5,2011.001765,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,1,16,2011.001821,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,1,16.5,2011.001878,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,1,17,2011.001935,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,1,17.5,2011.001992,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,1,18,2011.002049,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,1,18.5,2011.002106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,1,19,2011.002163,0.285,5.699,-9999,140.744862023938,277.7,-9999,-9999,2
2011,1,19.5,2011.00222,0.274,5.463,-9999,137.970622371238,278.309,-9999,-9999,2
2011,1,20,2011.002277,0.285,5.963,-9999,134.277517578966,281.153,-9999,-9999,2
2011,1,20.5,2011.002334,0.312,6.449,-9999,127.4471568675,284.004,-9999,-9999,2
2011,1,21,2011.002391,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,1,21.5,2011.002448,0.331,7.005,-9999,246.840245578981,301.592,-9999,-9999,2
2011,1,22,2011.002505,0.268,5.858,-9999,374.768946711491,298.592,-9999,-9999,2
2011,1,22.5,2011.002561,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,1,23,2011.002618,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,1,23.5,2011.002675,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,1,24,2011.002732,0.328,7.117,-9999,1017.38799054438,295.464,-9999,-9999,2
2011,2,0.5,2011.002789,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,2,1,2011.002846,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,2,1.5,2011.002903,0.308,6.349,-9999,3800.05803586679,295.757,-9999,-9999,2
2011,2,2,2011.00296,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,2,2.5,2011.003017,0.278,5.953,-9999,383.781183646562,285.819,-9999,-9999,2
2011,2,3,2011.003074,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,2,3.5,2011.003131,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,2,4,2011.003188,0.203,3.984,-9999,87.128658829163,274.86,-9999,-9999,2
2011,2,4.5,2011.003245,0.223,4.038,-9999,131.112846038857,277.509,-9999,-9999,2
2011,2,5,2011.003301,0.246,4.59,-9999,135.106939309457,286.752,-9999,-9999,2
2011,2,5.5,2011.003358,0.296,6.074,-9999,282.483197102573,303.57,-9999,-9999,2
2011,2,6,2011.003415,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,2,6.5,2011.003472,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,2,7,2011.003529,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,2,7.5,2011.003586,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,2,8,2011.003643,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,2,8.5,2011.0037,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2
2011,2,9,2011.003757,0.172,3.357,-9999,135.576026484065,278.524,-9999,-9999,2
2011,2,9.5,2011.003814,0.22,4.02,-9999,-53.1069769663604,279.691,-9999,-9999,2
2011,2,10,2011.003871,0.237,5.14,-9999,-33.9436497926409,284.763,-9999,-9999,2
2011,2,10.5,2011.003928,0.255,5.88,-9999,-29.8873981634493,293.519,-9999,-9999,2
2011,2,11,2011.003985,0.27,6.068,-9999,-47.1930517393907,295.222,-9999,-9999,2
2011,2,11.5,2011.004041,0.25,5.475,-9999,-26.8281841162665,290.818,-9999,-9999,2
2011,2,12,2011.004098,0.269,5.294,-9999,-30.2446766989545,284.265,-9999,-9999,2
2011,2,12.5,2011.004155,0.215,5.276,-9999,-16.7477032877287,286.45,-9999,-9999,2
2011,2,13,2011.004212,0.228,5.411,-9999,-18.7408815463955,287.798,-9999,-9999,2
2011,2,13.5,2011.004269,0.245,5.12,-9999,-20.7124234672661,286.343,-9999,-9999,2
2011,2,14,2011.004326,0.242,5.07,-9999,-23.962322152995,283.996,-9999,-9999,2
2011,2,14.5,2011.004383,0.244,4.984,-9999,-20.3793766534219,284.04,-9999,-9999,2
2011,2,15,2011.00444,0.232,4.664,-9999,-24.4799723883764,281.786,-9999,-9999,2
2011,2,15.5,2011.004497,0.229,3.973,-9999,-26.7197781371861,273.737,-9999,-9999,2
2011,2,16,2011.004554,0.209,4.113,-9999,-29.9956616914807,276.566,-9999,-9999,2
2011,2,16.5,2011.004611,0.172,3.779,-9999,-53.6600719786149,274.222,-9999,-9999,2
2011,2,17,2011.004668,0.199,3.731,-9999,143.733892031021,268.195,-9999,-9999,2
