SITE_ID,YEAR,HEIGHTC,HEIGHTC_RANGE_LOWER,HEIGHTC_RANGE_UPPER,HEIGHTC_COMMENT
BR-Sa1,2002,40,NA,50,"Rice et al., 2004 Ecol Appl"
BR-Sa3,2000,38,35,40,"Goulden et al., 2006 JGR"
CA-Cbo,1997,21,NA,NA,"Lee et al., 1999 JGR"
CA-Cbo,2009,23,NA,NA,"Goulden et al., 2011 Atmos. Chem. Phys"
CA-Gro,2004,31.3,NA,NA,"McCaughey et al., 2006 AFM"
CA-Man,1994,9.1,NA,NA,Gower et al. 1997 JGR
CA-Man,2008,10,NA,NA,NA
CA-NS1,2005,16,14,18,"Goulden et al., 2006 GCB"
CA-NS2,2004,16,12,20,"Goulden et al., 2006 GCB"
CA-NS3,2005,4.5,2,7,"Goulden et al., 2006 GCB"
CA-NS4,2005,4.5,2,7,"Goulden et al., 2006 GCB"
CA-NS5,2005,3,1,5,"Goulden et al., 2006 GCB"
CA-NS6,2005,2.1,0.2,4,"Goulden et al., 2006 GCB"
CA-NS7,2005,0.18,0.1,0.25,"Goulden et al., 2006 GCB"
CA-Oas,1996,21,NA,NA,"Kimball et al., 1997 Tree Physiology"
CA-Oas,2003,22,NA,NA,"Barr et al., 2004 AFM"
CA-Obs,1999,7.2,NA,NA,"Gower et al., 1997; JGeophysRes; BERGERON_et_al-2007-Global_Change_Biology.pdf"
CA-Ojp,2000,12.7,12,15,"Howard et al., 2004 GCB; Gower et al., 1997"
CA-Ojp,2004,16.7,NA,NA,NA
CA-Qcu,2009,1,NA,NA,"Payeur-Poirier et al., 2012 AFM"
CA-Qfo,2008,14.1,NA,NA,"Payeur-Poirier et al., 2012 AFM"
CA-TP1,2009,3.71,NA,NA,NA
CA-TP1,2010,5.03,NA,NA,NA
CA-TP1,2011,5.1,NA,NA,NA
CA-TP1,2012,5.57,NA,NA,NA
CA-TP3,2008,13.8,NA,NA,NA
CA-TP3,2009,14.5,NA,NA,NA
CA-TP3,2010,15.2,NA,NA,NA
CA-TP3,2011,15.7,NA,NA,NA
CA-TP3,2012,16.2,NA,NA,NA
CA-TP4,2004,20.3,NA,NA,NA
CA-TP4,2005,20.6,NA,NA,NA
CA-TP4,2006,21.2,NA,NA,NA
CA-TP4,2007,21.8,NA,NA,NA
CA-TP4,2008,22.2,NA,NA,NA
CA-TP4,2009,22.5,NA,NA,NA
CA-TP4,2010,22.7,NA,NA,NA
CA-TP4,2011,22.9,NA,NA,NA
CA-TP4,2012,23.4,NA,NA,NA
CA-TPD,2014,25.7,NA,NA,NA
US-Bar,2004,19,NA,NA,"Jenkins et al., 2007. AFM."
US-Blo,2000,5,4,6,"GRAY_et_al-2005-Plant,_Cell_&_Environment"
US-Bn1,2002,4,NA,NA,Liu_et_al-2005-Journal_of_Geophysical_Research-_Atmospheres
US-Bn2,2002,5,NA,NA,Liu_et_al-2005-Journal_of_Geophysical_Research-_Atmospheres
US-Bn3,2002,4,NA,NA,Liu_et_al-2005-Journal_of_Geophysical_Research-_Atmospheres
US-Ced,2006,9.7,6,14.1,Skowronski_et_al-2011_AgricForestMeteorol; the site was burned in 2008 and 2013
US-CPk,2010,21,NA,NA,"Reed_et-al-2016_TheorApplClimatol; insect (beetle) outbreak in 2007, 2008 and 2009."
