"SITE_ID","YEAR","IGBP","EC_HEIGHT","HEIGHTC","HEIGHTC_UPPER","HEIGHTC_LOWER","WD","N.sample","ha.mdl.q025","ha.mdl.q250","ha.mdl.q500","ha.mdl.q750","ha.mdl.q975"
"BR-Sa1",2002,"EBF",57.8,40,50,NA,67.5,337,50.1292479023858,53.3429234963386,54.8805025626129,56.4073015789561,59.0092943467428
"BR-Sa1",2003,"EBF",57.8,NA,NA,NA,90,381,49.2321498979563,52.7060458493158,54.705949964187,56.2657399358524,58.814594327127
"BR-Sa1",2004,"EBF",57.8,NA,NA,NA,90,438,52.1504178946906,54.7593591165519,56.1234586681262,57.5309247796019,59.7730393837082
"BR-Sa1",2005,"EBF",57.8,NA,NA,NA,90,261,52.0677442491922,54.8210508624429,56.2329074642177,57.433443277386,59.1704032563399
"BR-Sa1",2009,"EBF",57.8,NA,NA,NA,90,365,53.5519301533685,56.1129841236729,57.3336332111277,58.3611904412877,59.6568702357555
"BR-Sa1",2010,"EBF",57.8,NA,NA,NA,112.5,137,50.7034971180118,54.7018358672533,56.7622661419054,58.246394651731,60.089187714714
"BR-Sa1",2011,"EBF",57.8,NA,NA,NA,67.5,388,54.0377063051533,56.5057352748509,57.7664308484688,58.897176278165,60.4808939284
"BR-Sa3",2000,"EBF",64,38,40,35,90,448,51.688700483057,55.4188397782146,57.3863106222334,59.1450608484014,63.1629021958741
"BR-Sa3",2001,"EBF",64,NA,NA,NA,90,442,49.0919729598589,52.8648643201521,55.3038371342872,57.6686884454068,61.7713429874797
"BR-Sa3",2002,"EBF",64,NA,NA,NA,90,506,47.9567331933153,52.1385940369889,54.3743404118455,56.3612740486435,60.4594187631592
"BR-Sa3",2003,"EBF",64,NA,NA,NA,112.5,410,47.8672027019555,52.3016553866025,54.5880695432062,56.8143052568143,61.0918650370333
"CA-Ca1",1998,"ENF",43,NA,NA,NA,67.5,153,38.1249764002715,40.2131273435519,41.2080459962172,42.204444797173,44.1302557787174
"CA-Ca1",1999,"ENF",43,NA,NA,NA,67.5,180,38.9626898395518,41.1954858641147,42.3398125357322,43.20475448272,44.7803534405083
"CA-Ca1",2000,"ENF",43,NA,NA,NA,67.5,164,38.5742563031691,40.8777090537574,42.1455497929503,43.2023438096236,44.9940527012891
"CA-Ca1",2001,"ENF",43,NA,NA,NA,90,187,37.7810383727497,40.1224424811125,41.3712753759325,42.5623077600689,44.4424749473962
"CA-Ca1",2002,"ENF",43,NA,NA,NA,90,365,39.7100514118604,41.4793199513272,42.5179998832908,43.6497400553798,45.5491597972921
"CA-Ca1",2003,"ENF",43,NA,NA,NA,67.5,85,39.4291597435181,41.3024930332992,42.3058188619211,43.3529095210127,44.8501435932526
"CA-Ca1",2004,"ENF",43,32.5,NA,NA,90,116,39.1434880504094,41.4945512223887,42.6465516625604,43.5410184071696,44.9987251723936
"CA-Ca1",2005,"ENF",43,NA,NA,NA,90,153,40.7076234225978,42.6320131755625,43.5599738169132,44.4454567644225,45.5333475744949
"CA-Ca1",2006,"ENF",43,NA,NA,NA,90,162,39.3374141089241,41.5323642705395,42.6620022074111,43.6632886675311,45.3190722999224
"CA-Ca1",2007,"ENF",43,NA,NA,NA,90,180,38.8951228931969,41.1722615578762,42.2805077507005,43.2219245764965,44.9765632285703
"CA-Ca1",2008,"ENF",43,NA,NA,NA,90,187,38.6662502466794,41.0992142715621,42.2967363003235,43.3827180482734,45.0913615013461
"CA-Ca1",2009,"ENF",43,NA,NA,NA,90,190,38.886229501666,41.2344844097294,42.477665346732,43.6115326979079,45.1843001535876
"CA-Ca1",2010,"ENF",43,NA,NA,NA,90,185,39.0374330672497,41.2895021075967,42.4458419979115,43.4296497713819,45.2398604116362
"CA-Ca2",2001,"ENF",2.5,1,NA,NA,67.5,103,1.49096664768685,1.64192185943427,1.72850596274729,1.81496719930579,1.95044557114261
"CA-Ca2",2002,"ENF",2.5,NA,NA,NA,67.5,315,2.01436965736929,2.12031889513799,2.18100752448803,2.24220633692277,2.35340399942164
"CA-Ca2",2003,"ENF",2.5,NA,NA,NA,67.5,256,1.94350848614549,2.06644804958722,2.14201560006936,2.21210009979633,2.34304950362228
"CA-Ca2",2004,"ENF",2.5,NA,NA,NA,45,452,1.94282842113964,2.04140860701752,2.10788751642851,2.17404292425017,2.3157231472685
"CA-Ca2",2005,"ENF",2.5,NA,NA,NA,45,370,2.03318715625326,2.15102315829547,2.20576171611693,2.26173902604511,2.3843343766788
"CA-Ca2",2006,"ENF",2.5,NA,NA,NA,45,482,2.09545635295265,2.19874094571855,2.25951884804534,2.31657361205016,2.45053600743733
"CA-Ca2",2007,"ENF",2.5,NA,NA,NA,45,690,2.13548439892549,2.24536591235452,2.29639360063176,2.35769838607757,2.47889408649505
"CA-Ca2",2008,"ENF",2.5,NA,NA,NA,22.5,316,2.3722751859234,2.46105104067931,2.50100002403319,2.53592806624232,2.60991444285739
"CA-Ca2",2009,"ENF",2.5,NA,NA,NA,67.5,889,1.98719668561564,2.10723776396221,2.17347018214778,2.24992293875189,2.42018506301034
"CA-Ca2",2010,"ENF",2.5,NA,NA,NA,67.5,1038,2.1280021310129,2.24139768077141,2.30169625325163,2.36708464449117,2.4921127702329
"CA-Ca3",2002,"ENF",12,7.57,NA,NA,90,57,9.11365749000901,9.72758782591127,10.2058872341659,10.6147679973248,11.4791743701529
"CA-Ca3",2003,"ENF",12,NA,NA,NA,90,72,9.61112354042183,10.3220451776933,10.7119318672649,11.151595919618,11.8172608324405
"CA-Ca3",2004,"ENF",12,NA,NA,NA,67.5,365,10.2226246358691,10.8893894293405,11.2390559195014,11.5671873988751,12.2628657837772
"CA-Ca3",2005,"ENF",12,NA,NA,NA,67.5,204,10.6506254505215,11.1785380207731,11.5051699404629,11.8335933589324,12.4295484679777
"CA-Ca3",2006,"ENF",12,NA,NA,NA,22.5,386,10.8611840494807,11.4746023802627,11.784626530325,12.1054301473127,12.578544909402
"CA-Ca3",2007,"ENF",12,NA,NA,NA,90,573,11.5411357782527,12.0636480425952,12.3264196917155,12.5504503877738,12.8488447378183
"CA-Ca3",2008,"ENF",12,NA,NA,NA,67.5,311,11.9898354116668,12.4913988982396,12.6571594545694,12.7660192545909,12.9091164910513
"CA-Ca3",2009,"ENF",12,NA,NA,NA,90,756,12.2601492978343,12.6845360728794,12.8004863365995,12.9065371622195,13.0358757788295
"CA-Ca3",2010,"ENF",12,NA,NA,NA,67.5,605,12.4204107389187,12.8833852315854,12.9755008794204,13.030733946372,13.1250353005416
"CA-Cbo",1996,"MF",33,NA,NA,NA,157.5,612,22.3432788815532,24.3398274306119,25.3842507456453,26.3793748663388,28.8149830627207
"CA-Cbo",1997,"MF",33,21,NA,NA,247.5,475,23.2769717652702,25.1776763437657,26.1328157541482,27.1998954770173,29.2412452803807
"CA-Cbo",1998,"MF",33,NA,NA,NA,270,668,25.2852558129682,26.950122493254,28.0101361874403,29.022677392852,31.2173359631101
"CA-Cbo",1999,"MF",33,NA,NA,NA,202.5,689,24.4794678495035,26.2730789813533,27.2912834030277,28.3280587609906,30.2854090675866
"CA-Cbo",2001,"MF",33,NA,NA,NA,225,730,25.6683887431484,27.370811923594,28.3581615093935,29.4135516292791,31.1815799381848
"CA-Cbo",2002,"MF",33,NA,NA,NA,247.5,527,26.8492774257654,28.4484303387621,29.4051993479503,30.4105617204437,32.1402122566955
"CA-Cbo",2003,"MF",33,NA,NA,NA,247.5,337,27.0698340769731,28.8104715767934,29.7983579517837,30.7469922641298,32.7222398987864
"CA-Cbo",2005,"MF",33,NA,NA,NA,202.5,709,27.5646117115808,29.171701285613,30.0678579382513,30.9662638565511,32.7089901126515
"CA-Cbo",2006,"MF",33,NA,NA,NA,247.5,695,27.5010710773867,29.0162053992184,29.839849710212,30.8220907900666,32.4299125649777
"CA-Cbo",2007,"MF",33,NA,NA,NA,180,584,27.710271244889,29.3047647640803,30.2283848630294,31.1649340884432,32.8788333173872
"CA-Cbo",2008,"MF",33,NA,NA,NA,202.5,717,28.1313284956099,29.6321973468855,30.4943012008845,31.2596711952049,32.627533596776
"CA-Cbo",2009,"MF",33,23,NA,NA,180,580,28.4049389747482,30.0884216201915,30.8754265242338,31.7418508213767,33.2041190319588
"CA-Cbo",2010,"MF",33,NA,NA,NA,247.5,867,28.2875917020827,29.9935672074821,30.7686050991577,31.5936530141265,32.8294443372282
"CA-Cbo",2011,"MF",33,NA,NA,NA,180,687,28.4953422224552,30.0547297343818,30.8770026021921,31.7169946883469,33.0673393280152
"CA-Cbo",2012,"MF",33,NA,NA,NA,180,667,29.1048122079536,30.5317830064672,31.4156959383617,32.2630328764889,33.4270576449488
"CA-Gro",2004,"MF",43.3,31.3,NA,NA,225,526,25.1833806239415,28.0139326419191,29.6003803550746,31.3469853339916,34.7648261010736
"CA-Gro",2005,"MF",43.3,NA,NA,NA,225,333,26.813073824376,29.6022259456523,31.1725491470083,32.7542473236415,36.2481445146262
