"SITE_ID","YEAR","IGBP","EC_HEIGHT","HEIGHTC","HEIGHTC_UPPER","HEIGHTC_LOWER","WD","N.sample","ha.mdl.q025","ha.mdl.q250","ha.mdl.q500","ha.mdl.q750","ha.mdl.q975"
"CA-Cbo",1996.5,"MF",33,21,NA,NA,157.5,1814,17.8539677804858,19.0375524918859,19.7343359388497,20.5480234829248,21.833811111109
"CA-Cbo",1997.5,"MF",33,NA,NA,NA,180,1937,19.0694417941026,20.2837664784234,21.0056771102892,21.8183228072715,23.2139294214138
"CA-Cbo",1998.5,"MF",33,NA,NA,NA,180,1973,20.2211456716216,21.5731765868424,22.2392081887334,23.058212705718,24.4962091841255
"CA-Cbo",1999.5,"MF",33,NA,NA,NA,202.5,2043,22.038151577489,23.2268960509398,23.8318589240038,24.4556460479606,25.6484633078703
"CA-Cbo",2000.5,"MF",33,NA,NA,NA,180,1066,21.5259035547703,22.924815834621,23.5320059364488,24.1754017097179,25.486025895435
"CA-Cbo",2001.5,"MF",33,NA,NA,NA,225,2715,21.8856151418674,23.1449053968343,23.8083016492767,24.4643532310405,25.833461808558
"CA-Cbo",2002.5,"MF",33,NA,NA,NA,180,1881,22.4392233426944,23.5976770329924,24.2418568641517,24.9920085525362,26.4881298216184
"CA-Cbo",2005.5,"MF",33,NA,NA,NA,180,2096,24.3282115014696,25.5972299626626,26.2934319732205,26.9348949303327,28.3914224091607
"CA-Cbo",2006.5,"MF",33,NA,NA,NA,180,2434,24.2644140633676,25.4902003652107,26.2166643971373,26.8527809583789,28.2914181766961
"CA-Cbo",2007.5,"MF",33,NA,NA,NA,180,3097,24.3913379580432,25.500533045326,26.2142132559186,26.9028545176487,28.2616119448173
"CA-Cbo",2008.5,"MF",33,23,NA,NA,180,2456,23.9743025854522,25.2125505955965,25.8614484443217,26.6109939968183,27.9366767522882
"CA-Cbo",2009.5,"MF",33,NA,NA,NA,180,2263,24.7329244716222,26.0519674824721,26.720460869078,27.4241366543542,28.7697014308583
"CA-Cbo",2010.5,"MF",33,NA,NA,NA,180,2515,24.9267987532658,26.2183820991392,26.8784983631199,27.5471424311549,28.9362847525744
"CA-Cbo",2011.5,"MF",33,NA,NA,NA,180,2680,25.2344072711594,26.40243012247,27.0527973926301,27.7470018760808,29.1456521333946
"CA-Gro",2004.5,"MF",43.3,31.3,NA,NA,225,1078,18.1599194375987,19.8011615828591,20.732011719971,21.6406493785861,23.82975959916
"CA-Gro",2005.5,"MF",43.3,NA,NA,NA,225,994,20.3252823667052,21.7576098196177,22.5825743181854,23.4950752412349,25.3339160892369
"CA-Gro",2006.5,"MF",43.3,NA,NA,NA,225,1515,20.1272254319412,21.6297410673381,22.4448699641836,23.3725540085522,25.118402336001
"CA-Gro",2007.5,"MF",43.3,NA,NA,NA,225,1526,20.3301006302232,21.7792598816362,22.6088419186013,23.4446625754386,25.407326507664
"CA-Gro",2008.5,"MF",43.3,NA,NA,NA,225,1517,20.4716582399165,21.9326670419285,22.85828192329,23.8066779943376,25.9534484540687
"CA-Gro",2009.5,"MF",43.3,NA,NA,NA,225,1186,20.5778032054781,22.0876646906216,23.0052868344123,23.9666259178804,25.9375729408338
"CA-Gro",2010.5,"MF",43.3,NA,NA,NA,225,1309,21.5564697906218,23.3965630777644,24.2822538792553,25.2761245654534,27.3040936499676
"CA-Gro",2011.5,"MF",43.3,NA,NA,NA,225,1492,20.4351184077524,21.9385455798862,22.7751567448749,23.6061232737945,25.441945065554
"CA-Gro",2012.5,"MF",43.3,NA,NA,NA,225,1166,19.9693973074467,21.5622925130169,22.3832816968812,23.3532525050673,25.4249872211357
"CA-Oas",1996.5,"DBF",39,21,NA,NA,292.5,1229,22.3185670890959,23.7265650759269,24.5874609954393,25.4539169391258,27.360771470172
"CA-Oas",1997.5,"DBF",39,NA,NA,NA,292.5,1086,22.7304946994682,24.2525917321333,25.1164781900839,25.9146237144643,27.8995993097204
"CA-Oas",1998.5,"DBF",39,NA,NA,NA,315,1060,21.2781669410918,22.836323412922,23.7049752392989,24.6216701364164,26.5869815798424
"CA-Oas",1999.5,"DBF",39,NA,NA,NA,292.5,1633,20.7513531829712,22.0543869591545,22.8950399560166,23.8381072459688,25.5409369537798
"CA-Oas",2000.5,"DBF",39,NA,NA,NA,292.5,1340,20.342641516555,21.8387687140508,22.6032695249857,23.4661893964898,25.2910090167791
"CA-Oas",2001.5,"DBF",39,NA,NA,NA,292.5,1501,20.5297973687095,21.8202708505559,22.6216457165529,23.523159568784,25.3853143684005
"CA-Oas",2002.5,"DBF",39,22,NA,NA,292.5,1526,21.7201596073455,23.0681081881656,23.9216799432597,24.8421108592566,26.665033673192
"CA-Oas",2003.5,"DBF",39,NA,NA,NA,315,1696,21.8876088074084,23.3901390927022,24.1817115614865,25.0128792047882,26.5404027867094
"CA-Oas",2004.5,"DBF",39,NA,NA,NA,292.5,1221,20.8344963751269,22.2542346491511,23.0336231318339,23.8750110329165,25.6990415235705
