"case","site","crop","incpt","incpt.025","incpt.975","slope","slope.025","slope.975","rng.l","rng.u","rsqur","n","crop2"
"CA-ER1_hay","CA-ER1","hay",0.0125851141472997,-0.00830668104639876,0.0319265160970162,0.689265356809946,0.638114541736316,0.74451638542138,0,1.3595,0.910663827939741,62,"other"
"CA-ER2_corn","CA-ER2","corn",0.0157626768503631,-0.131064227871714,0.149321766309571,0.910563402866789,0.828281568776274,1.00101914843441,0,3.0235,0.862745491044505,63,"corn"
"US-Br1_corn","US-Br1","corn",-0.00673719225651781,-0.129546910180648,0.105174230028761,0.960127433229034,0.87492446399197,1.05362774271155,0,3.059,0.930953874521421,35,"corn"
"US-Br1_soybean","US-Br1","soybean",-0.0735887093344564,-0.139445156190017,-0.0176490082170346,0.786658951227652,0.66820286720804,0.926114412127958,0,1.1858,0.78575997142644,35,"soybean"
"US-Br3_corn","US-Br3","corn",0.280412588403012,-0.0262257689357035,0.524998798509525,0.910626890949039,0.726350030085366,1.14165526285179,0,3.0178,0.612472594198505,33,"corn"
"US-Br3_soybean","US-Br3","soybean",0.0370721654804541,-0.0177340712114135,0.0841078214059556,0.723843744939503,0.621215164292661,0.843427200758426,0,1.026,0.76928253060956,42,"soybean"
"US-CRT_soybean","US-CRT","soybean",0.14319302965189,0.000793367499093534,0.258013468581607,1.19489507018541,0.963474030482099,1.48190214119104,0,1.125,0.893139793069579,13,"soybean"
"US-CRT_wheat","US-CRT","wheat",0.12713793894876,0.0120417623580068,0.214588476312214,1.0379471788274,0.788636436343866,1.36607224366946,0,1.14,0.824306626347709,13,"other"
"US-IB1_corn","US-IB1","corn",0.0550609398957325,-0.230295959253883,0.30250924279202,1.04302382490034,0.904462012732563,1.20281303581006,0.23,2.88,0.958797638229317,12,"corn"
"US-IB1_soybean","US-IB1","soybean",-0.45350891491018,-1.29165360796132,-0.00392440126307603,1.17786726764824,0.631813202489809,2.19585677337836,0.32,1.49,0.11210728176903,12,"soybean"
"US-IB2_prairie","US-IB2","prairie",-0.199683466706784,-0.387255083861729,-0.0370798127612164,1.03405073848168,0.896406561891185,1.19283032410945,0.33,2.68,0.782794129285949,45,"grass"
"US-KL1_corn","US-KL1","corn",1.08526185943246,0.801925490831068,1.30544896480283,0.827445645909518,0.643026740702125,1.06475555928985,0.01,2.86,0.869189346812691,12,"corn"
"US-KL2_switchgrass","US-KL2","switchgras",0.141608011420162,-0.507867048793252,0.530342436940017,1.23647260928935,0.740073790185557,2.06582712939949,0.1,1.18,0.347388197075333,13,"other"
"US-KL3_prairie","US-KL3","prairie",0.157504682404489,-0.239577156270199,0.440799562941774,0.981983687411403,0.700588453864509,1.37640287535853,0.1,1.6,0.731128463797023,13,"grass"
"US-KM1_corn","US-KM1","corn",0.396759627828856,0.242711332275538,0.526040668406707,0.727392800268687,0.610445560528943,0.86674442422722,0.01,2.74,0.937481165806864,12,"corn"
"US-KM2_prairie","US-KM2","prairie",0.00615055317518132,-0.243635567105195,0.210538127858679,1.6000165413098,1.30921405867033,1.95541203939181,0.05,1.75,0.91786320475702,12,"grass"
"US-KM3_switchgrass","US-KM3","switchgras",0.172007152931534,0.0149166620586625,0.307828899457284,1.0242861614393,0.885606344571342,1.18468227666534,0.05,1.72,0.951602961810551,13,"other"
"US-KM4_prairie","US-KM4","prairie",0.311532312058771,-0.171282708600036,0.607092920012911,1.02768870092403,0.629111117583385,1.67878779517346,0.1,1,0.407775462385795,13,"grass"
"US-Ne1_corn","US-Ne1","corn",-0.281418335795237,-0.375112510523267,-0.194001768679619,0.765129109631612,0.713864659765398,0.82007499096265,0,3.3,0.885136538388024,96,"corn"
"US-Ne2_corn","US-Ne2","corn",-0.122731538994365,-0.231973585069479,-0.0199703574392875,1.07810283638357,1.01414359475178,1.14609581111912,0,3.3,0.960404828453548,45,"corn"
"US-Ne2_soybean","US-Ne2","soybean",0.16458972801421,0.078578741469173,0.236941143013493,0.828325805518078,0.696777778246654,0.984709417418145,0.1,1.1,0.814115853808008,28,"soybean"
"US-Ne3_corn","US-Ne3","corn",-0.25240415857173,-0.426938237614877,-0.0927743464783994,1.13396241643725,1.03712815542475,1.23983786879799,0,3,0.940461162015454,33,"corn"
"US-Ne3_soybean","US-Ne3","soybean",0.0785126760124935,-0.00253272558412942,0.147019037229941,0.825833117620312,0.698063316936977,0.976989223772744,0,1,0.683639597436093,47,"soybean"
"US-Ro1_corn","US-Ro1","corn",-0.154025980421571,-0.234180453739298,-0.0777378458181828,1.08897866769463,1.03645059024962,1.14416890669952,0.0740909090909091,2.73636363636364,0.981769905236002,33,"corn"
"US-Ro1_soybean","US-Ro1","soybean",0.129512698059402,0.0422385293168692,0.200586879099312,0.6628429672112,0.539804867022927,0.813925227470554,0.120652173913043,1.04697674418605,0.880906267010579,15,"soybean"
"US-Ro3_corn","US-Ro3","corn",-0.247810527182342,-0.520496306386486,-0.0177813305395302,1.13964807939281,0.961371483776547,1.35098426235992,0.0915,2.62828947368421,0.926140516542677,14,"corn"
"US-Ro3_soybean","US-Ro3","soybean",0.246683836644612,0.0604391219213935,0.363429832737497,0.676531550113576,0.424078341356694,1.07926978028361,0.108461538461538,0.739777777777778,0.104510991801132,19,"soybean"
"US-Shd_grass","US-Shd","grass",-0.085515980745724,-0.165973788177663,-0.0190242891868287,0.976916089248658,0.807339963125301,1.18211049746434,0,0.62,0.677980108034718,38,"grass"
