"SITE_ID","YEAR","IGBP","EC_HEIGHT","HEIGHTC","HEIGHTC_UPPER","HEIGHTC_LOWER","WD","N.sample","ha.mdl.q025","ha.mdl.q250","ha.mdl.q500","ha.mdl.q750","ha.mdl.q975","hc.hat.q025","hc.hat.q250","hc.hat.q500","hc.hat.q750","hc.hat.q975"
"BR-Sa1",2002,"EBF",57.8,40,50,NA,67.5,664,50.5599859509688,53.2794397820114,55.0193931964644,56.952298490094,59.9584764632769,37.0410817237275,39.0485343944939,40.3329371995652,41.7597736656756,43.9788810217845
"BR-Sa1",2003,"EBF",57.8,NA,NA,NA,90,397,50.5141272928092,53.6262467262584,55.353600424734,57.1721075773783,59.7048418523139,37.0072296741912,39.3045411405993,40.5796430584111,41.9220328422392,43.7916524425145
"BR-Sa1",2004,"EBF",57.8,NA,NA,NA,90,401,51.3234474504821,54.1782301239264,55.6679593240947,57.3561707606065,60.1491511772435,37.6046554857567,39.7120055120178,40.8116972322667,42.0579050253016,44.1196337197824
"BR-Sa1",2005,"EBF",57.8,NA,NA,NA,90,399,51.2887518213723,54.2931605549172,55.7794106745989,57.3981012106271,59.994884413255,37.579043786626,39.7968451213581,40.8939686459882,42.0888573411378,44.0057567258639
"BR-Sa1",2009,"EBF",57.8,NA,NA,NA,90,466,52.8334639596637,55.3796079412884,56.9863724160388,58.3611474600677,60.317553612826,38.719322938337,40.5988413466744,41.784926434537,42.7997610319608,44.2439454162027
"BR-Sa1",2010,"EBF",57.8,NA,NA,NA,112.5,289,53.543280036179,56.3267787964353,57.7906946832261,59.0162579570295,60.9076137837611,39.243296598889,41.2980261025002,42.3786628918325,43.2833520022363,44.6795173875064
"BR-Sa1",2011,"EBF",57.8,NA,NA,NA,67.5,566,53.1133652915939,55.8318190324881,57.2319650299501,58.5578879771633,60.9189999744938,38.9259411459787,40.932655567904,41.9662185539652,42.9449913984349,44.6879224719154
"BR-Sa3",2000,"EBF",64,38,40,35,90,636,53.0477679686695,56.6376046371808,58.9108422813486,60.9844320959681,65.1299545554986,38.8775183635815,41.527472235038,43.205536016809,44.7362233055269,47.7963745896236
"BR-Sa3",2001,"EBF",64,NA,NA,NA,90,798,50.8930122710352,55.1798759140251,57.2641530053811,59.6931849562382,63.9563669795131,37.2869158570456,40.4514027003586,41.9899791475476,43.7830475282142,46.9300530191313
"BR-Sa3",2002,"EBF",64,NA,NA,NA,90,608,49.3917664222244,53.7621091710586,56.0546404908175,58.6640987363017,63.4467092591748,36.1787227506685,39.4048323919373,41.0971384234397,43.0233943003936,46.5538327133511
"BR-Sa3",2003,"EBF",64,NA,NA,NA,112.5,667,50.7045055417944,55.1225316983601,57.4698728974925,59.8240878398688,63.7187713797766,37.1477635269886,40.4090722156209,42.1418379296804,43.8796777193046,46.7546641539816
"CA-Ca1",1998,"ENF",43,NA,NA,NA,67.5,414,38.2684133537831,40.4636909612704,41.6436745697659,42.8154340708123,44.9023728857575,29.4749572489106,31.1902414415142,32.1122238023238,33.0277802416655,34.6584137196354
"CA-Ca1",1999,"ENF",43,NA,NA,NA,67.5,267,38.7069248714463,40.6648762099156,41.8885517053866,43.0830058312661,45.4502427538828,29.8175890290358,31.3474379052366,32.3035590022218,33.23684792838,35.0864928478486
"CA-Ca1",2000,"ENF",43,NA,NA,NA,67.5,346,38.5432218184856,41.0116320033636,42.1124809318335,43.3568902924553,45.4199102315878,29.6896793477879,31.618376181638,32.4785265147934,33.4508480554142,35.062792475815
"CA-Ca1",2001,"ENF",43,NA,NA,NA,90,223,37.8077705567871,40.149819783501,41.3196977102098,42.7006749167952,45.039066766511,29.1150331530108,30.9449976200013,31.8590838877769,32.9381129657954,34.7652197345478
"CA-Ca1",2002,"ENF",43,NA,NA,NA,90,373,38.7919064068484,40.874802489714,41.9262760157248,43.1658998491139,45.4285227394591,29.8839895078823,31.511464189713,32.3330349614259,33.3016173215497,35.0695218746664
"CA-Ca1",2003,"ENF",43,NA,NA,NA,67.5,422,38.8483193128056,40.7993028502935,42.0164421930535,43.2164622609543,45.4999742662691,29.9280678356151,31.4524724077153,32.403486469769,33.3411243549535,35.1253506564371
"CA-Ca1",2004,"ENF",43,32.5,NA,NA,90,342,39.028089535377,41.0331885309622,42.1346834391095,43.3330627720127,45.7985474708897,30.0685316293631,31.6352194140889,32.4958744846524,33.4322303785315,35.3586413785189
"CA-Ca1",2005,"ENF",43,NA,NA,NA,90,148,39.7448815817616,41.6047845631935,42.5887617019642,43.702771267729,45.8904970608198,30.6285984119668,32.081837024225,32.850669369738,33.7211027910275,35.4304863595753
"CA-Ca1",2006,"ENF",43,NA,NA,NA,90,380,39.1600771880329,41.1308636761676,42.4323404519478,43.607130222551,45.6630754108517,30.1716604243034,31.7115380682809,32.7284493386014,33.6463734846299,35.2527900354678
"CA-Ca1",2007,"ENF",43,NA,NA,NA,90,193,38.6097068646819,40.8275712203533,41.8665864327097,43.1074135454687,45.6813757151663,29.7416275608047,31.4745599506068,32.2863963960527,33.2559189407233,35.2670890118722
"CA-Ca1",2008,"ENF",43,NA,NA,NA,90,298,38.7197726586078,40.7899958961907,42.0253027229978,43.13556797442,45.5859581566042,29.8276276711432,31.4452004020248,32.4104096611229,33.2779174555204,35.1925343271525
"CA-Ca1",2009,"ENF",43,NA,NA,NA,90,314,39.0161582631908,40.9487509612503,42.1093973933673,43.2826206892228,45.2990505223419,30.0592091079157,31.5692439638339,32.4761171863466,33.3928173644523,34.9683585199066
"CA-Ca1",2010,"ENF",43,NA,NA,NA,90,375,38.6461032575413,40.807783414758,42.014360353548,43.180927774958,45.3761772070016,29.7700659492467,31.4590987123434,32.4018598206459,33.3133594190229,35.0286215966918
"CA-Ca2",2001,"ENF",2.5,1,NA,NA,67.5,100,1.58630255991351,1.70134611237325,1.77115257356626,1.84519999866173,2.00861652834054,0.813322573889231,0.903212065005129,0.957755471733087,1.01561256339933,1.14329836915445
"CA-Ca2",2002,"ENF",2.5,NA,NA,NA,67.5,344,1.97849643451033,2.07778438318088,2.13309119261256,2.19045692128567,2.29098787393052,1.11976397849221,1.19734279963527,1.24055687681528,1.285379694328,1.36392973891049
"CA-Ca2",2003,"ENF",2.5,NA,NA,NA,67.5,322,1.92034044427214,2.05531414395684,2.11772972937835,2.17769084324612,2.2978847134383,1.07432368865344,1.17978563692675,1.22855416928934,1.27540489579313,1.36931859713337
"CA-Ca2",2004,"ENF",2.5,NA,NA,NA,45,417,1.90301537705261,2.00300515550675,2.06937267808566,2.13658460901691,2.25672521501162,1.0607867155453,1.13891391267944,1.19077029840196,1.24328646414224,1.33715854740391
"CA-Ca2",2005,"ENF",2.5,NA,NA,NA,45,440,2.00927670930312,2.11606199546029,2.17196141669675,2.22835410774236,2.34803279581262,1.1438142027627,1.22725108232787,1.27092819783051,1.31499073060496,1.40850189344755
