"SITE_ID","YEAR","IGBP","EC_HEIGHT","HEIGHTC","HEIGHTC_UPPER","HEIGHTC_LOWER","WD","N.sample","ha.mdl.q025","ha.mdl.q250","ha.mdl.q500","ha.mdl.q750","ha.mdl.q975"
"BR-Sa1",2002,"EBF",57.8,40,50,NA,67.5,353,48.7281459283588,51.4138567737921,53.1186769365398,54.8920933898117,57.5660899121289
"BR-Sa1",2003,"EBF",57.8,NA,NA,NA,90,248,46.2052118297205,50.3051405144214,52.3448621727628,54.1477932833643,56.7361372933724
"BR-Sa1",2004,"EBF",57.8,NA,NA,NA,90,289,50.7075162330384,53.6000480075817,54.9874950857152,56.581530108443,58.8302017326353
"BR-Sa1",2005,"EBF",57.8,NA,NA,NA,90,267,50.8362922725397,53.5907403986023,55.061439681224,56.2432744810369,57.9231518403689
"BR-Sa1",2009,"EBF",57.8,NA,NA,NA,90,334,52.0220764957837,54.7587948841215,55.9821888029715,57.0683183388244,58.7789220851163
"BR-Sa1",2010,"EBF",57.8,NA,NA,NA,112.5,77,48.6568644187855,52.3037897529263,53.869181759692,55.4908247057473,58.0205004752861
"BR-Sa1",2011,"EBF",57.8,NA,NA,NA,67.5,382,52.9863682395805,55.4456810348653,56.6521706161108,57.6406112605655,59.4226434821482
"BR-Sa3",2000,"EBF",64,38,40,35,90,304,49.8264079395001,53.393346892218,55.1558022868129,57.150235316373,60.8612313549382
"BR-Sa3",2001,"EBF",64,NA,NA,NA,90,430,45.6070966560673,49.5135730112146,51.9294758118954,54.2984127274653,59.0800417928292
"BR-Sa3",2002,"EBF",64,NA,NA,NA,90,368,45.7032467287722,49.3825811830324,51.6508418260391,53.810183333767,58.2572941293407
"BR-Sa3",2003,"EBF",64,NA,NA,NA,112.5,401,44.2621132651221,48.806572906573,51.3020480213945,53.8574915517745,58.2985395563404
"CA-Ca1",1998,"ENF",43,NA,NA,NA,67.5,212,38.0981907733777,40.1419732784139,41.20609484502,42.3363084087207,44.5255125409971
"CA-Ca1",1999,"ENF",43,NA,NA,NA,67.5,242,39.1404506963922,41.1011446383101,42.3012823275936,43.2690237628528,44.9796233304102
"CA-Ca1",2000,"ENF",43,NA,NA,NA,67.5,143,38.6876712124128,40.9949231530015,42.1819310568735,43.4237983630544,45.2724353096789
"CA-Ca1",2001,"ENF",43,NA,NA,NA,90,234,37.6403228415006,40.2089096068028,41.5389235195269,42.8334922296556,45.0559168671175
"CA-Ca1",2002,"ENF",43,NA,NA,NA,90,102,39.4331148323833,41.4290334314104,42.4766651281555,43.6823950790992,45.5014041961761
"CA-Ca1",2003,"ENF",43,NA,NA,NA,67.5,139,39.4102151225629,41.3966985557175,42.4859261922777,43.4554810320447,45.1775888110326
"CA-Ca1",2004,"ENF",43,32.5,NA,NA,90,218,39.0464454224668,41.4192007192646,42.6658604931653,43.7417480167145,45.3258310131315
"CA-Ca1",2005,"ENF",43,NA,NA,NA,90,181,40.7549812430589,42.7319861359006,43.6732163431374,44.7510321668069,45.6935011943876
"CA-Ca1",2006,"ENF",43,NA,NA,NA,90,190,39.4407051502354,41.5910887636711,42.8364152122371,43.8397971289889,45.7061915992811
"CA-Ca1",2007,"ENF",43,NA,NA,NA,90,113,38.7010603742974,41.0517600421087,42.321142797619,43.3062268165322,45.1689859442198
