"SITE_ID","YEAR","IGBP","EC_HEIGHT","HEIGHTC","HEIGHTC_UPPER","HEIGHTC_LOWER","WD","N.sample","ha.mdl.q025","ha.mdl.q250","ha.mdl.q500","ha.mdl.q750","ha.mdl.q975"
"CA-Cbo",1996.5,"MF",33,21,NA,NA,157.5,1481,10.3687897806134,10.9235994983382,11.2542476834573,11.5629320920588,12.2386991614703
"CA-Cbo",1997.5,"MF",33,NA,NA,NA,180,1432,11.3530269763113,11.8762103004309,12.1654916530178,12.4724403281669,13.0954937120836
"CA-Cbo",1998.5,"MF",33,NA,NA,NA,180,1434,12.4176875534083,13.0432990742079,13.3208284467736,13.6180842780658,14.2526129166146
"CA-Cbo",1999.5,"MF",33,NA,NA,NA,202.5,1643,15.4866549479281,16.4553193884416,16.9671239691056,17.5401320639497,18.5616762662256
"CA-Cbo",2000.5,"MF",33,NA,NA,NA,180,850,14.5070600638931,15.3403600664131,15.7857914018544,16.2579854022804,17.2223063749581
"CA-Cbo",2001.5,"MF",33,NA,NA,NA,225,2110,13.6183645450713,14.2470621795142,14.5558411732321,14.8835605605533,15.5786583483662
"CA-Cbo",2002.5,"MF",33,NA,NA,NA,180,1433,14.0881178227648,14.630694856452,14.9537928627879,15.291989631447,15.9138977602186
"CA-Cbo",2005.5,"MF",33,NA,NA,NA,180,1451,16.0219534498195,16.6823021256303,17.0613273755426,17.4211514858112,18.178788142096
"CA-Cbo",2006.5,"MF",33,NA,NA,NA,180,1839,16.3092941060766,16.907419769556,17.2650600277911,17.6084845805118,18.3417861636139
"CA-Cbo",2007.5,"MF",33,NA,NA,NA,180,2230,16.2625114855916,16.7877221505483,17.139934939364,17.5027775769895,18.2252924769101
"CA-Cbo",2008.5,"MF",33,23,NA,NA,180,1970,15.7178993449478,16.3039584205478,16.6193279817759,16.9634342226839,17.5905200649418
"CA-Cbo",2009.5,"MF",33,NA,NA,NA,180,1626,16.5605440010455,17.2222976951112,17.5480491368211,17.904528210625,18.5916671800633
"CA-Cbo",2010.5,"MF",33,NA,NA,NA,180,1978,16.5507012716022,17.2351920554255,17.5751848627073,17.9195804762182,18.6464557836766
"CA-Cbo",2011.5,"MF",33,NA,NA,NA,180,2016,17.0601306948725,17.6466530892269,18.0038713874319,18.3499254361452,19.0422560581022
"CA-Gro",2004.5,"MF",43.3,31.3,NA,NA,225,780,9.57405818633865,10.1695084597868,10.5611746523269,10.970055178854,11.7000080442671
"CA-Gro",2005.5,"MF",43.3,NA,NA,NA,225,746,11.4176986907415,11.997907610054,12.3103818621772,12.6645784498022,13.2784082122538
"CA-Gro",2006.5,"MF",43.3,NA,NA,NA,225,1068,11.2907253202638,11.8003951650679,12.0989047954769,12.3976705943876,13.0182728128673
"CA-Gro",2007.5,"MF",43.3,NA,NA,NA,225,1133,11.3820933309174,11.9714285573765,12.3023434289615,12.5985814828643,13.2181811468431
"CA-Gro",2008.5,"MF",43.3,NA,NA,NA,225,1033,11.3674204897565,11.9382979733005,12.273468400632,12.6203528328037,13.2247600204435
"CA-Gro",2009.5,"MF",43.3,NA,NA,NA,225,992,11.6026220804766,12.2450569967398,12.5684442202169,12.9073664175796,13.6272604224445
"CA-Gro",2010.5,"MF",43.3,NA,NA,NA,225,902,12.4324146535011,12.9544247321205,13.2967441419111,13.610709732713,14.2585221408231
"CA-Gro",2011.5,"MF",43.3,NA,NA,NA,225,1047,11.4793770705494,12.0716334349111,12.3901385115273,12.7443734117525,13.3801964745364
"CA-Gro",2012.5,"MF",43.3,NA,NA,NA,225,898,11.2516631917862,11.849576753381,12.1405751710163,12.4561083103232,13.106285520159
"CA-Oas",1996.5,"DBF",39,21,NA,NA,292.5,937,12.9724650579891,13.673240347126,14.0874817900418,14.4437289376157,15.174421582226
