"case","site","crop","incpt","incpt.025","incpt.975","slope","slope.025","slope.975","rng.l","rng.u","rsqur","n","crop2"
"CA-ER1_hay","CA-ER1","hay",-0.00653960228055492,-0.0169771606257616,0.00311086570038217,0.336698162664271,0.311307944881967,0.364159201861934,0,1.3595,0.909232787593447,61,"other"
"CA-ER2_corn","CA-ER2","corn",-0.0717385429506183,-0.172886658922864,0.0191995534822806,0.561740712792999,0.505037890416781,0.624809810109054,0,3.0235,0.835486835634096,60,"corn"
"US-Br1_corn","US-Br1","corn",-0.0792724150228497,-0.17430914830729,0.00459355791845417,0.543218897032546,0.479368132145124,0.615574441239497,0,3.059,0.874692594002092,35,"corn"
"US-Br1_soybean","US-Br1","soybean",-0.0394526562248533,-0.0716443309227507,-0.0123693528683327,0.361409841574945,0.304059122964661,0.42957788049138,0,1.1858,0.759591763247825,35,"soybean"
"US-Br3_corn","US-Br3","corn",0.0964649926325405,-0.0630543061670665,0.223848543210065,0.476405759809259,0.380432070957902,0.59659125848134,0,3.0178,0.616432370818925,33,"corn"
"US-Br3_soybean","US-Br3","soybean",0.0085470063360468,-0.0171569870603847,0.0306160430652734,0.340506854162485,0.292353727110299,0.396591207773068,0,1.026,0.770580109577853,42,"soybean"
"US-CRT_soybean","US-CRT","soybean",0.0400626206738287,-0.0496343547830929,0.11162679401155,0.713497036339061,0.569259167596368,0.894281638035182,0,1.125,0.882201193052167,13,"soybean"
"US-CRT_wheat","US-CRT","wheat",0.0345144992983022,-0.0310259412474221,0.0841472454848724,0.582973660508875,0.441476796380495,0.769821407678703,0,1.14,0.819922113477249,13,"other"
"US-IB1_corn","US-IB1","corn",-0.0930031678957799,-0.259797729653209,0.0528969835067319,0.652178660458351,0.570480022248825,0.745577388460644,0.23,2.88,0.963702094640585,12,"corn"
"US-IB1_soybean","US-IB1","soybean",-0.227981563977279,-0.622663341493838,-0.0167283076727923,0.552087512498579,0.295504610104466,1.03145809247821,0.32,1.49,0.105170306952488,12,"soybean"
"US-IB2_prairie","US-IB2","prairie",-0.181973080599965,-0.290008371486269,-0.0890141174514875,0.563882852860041,0.485192985635032,0.655334848531292,0.33,2.68,0.759356675880141,45,"grass"
"US-KL1_corn","US-KL1","corn",0.48636636711779,0.28200785832099,0.647465932504513,0.637418616611244,0.502488801225222,0.808580194845937,0.01,2.86,0.883879671374189,12,"corn"
"US-KL2_switchgrass","US-KL2","switchgras",-0.00847784625539694,-0.404843254512502,0.225229086522279,0.727224297515415,0.42878958777221,1.23336758628975,0.1,1.18,0.305138885811909,13,"other"
"US-KL3_prairie","US-KL3","prairie",-0.0505922273492697,-0.342127306291733,0.150551168241479,0.644386053244976,0.444591434043501,0.933966230163597,0.1,1.6,0.672591916550731,13,"grass"
