"case","site","year","crop","incpt","incpt.025","incpt.975","slope","slope.025","slope.975","rng.l","rng.u","rsqur","n","crop2"
"CA-ER1_2012","CA-ER1",2012,"hay",-0.0515058772768474,-0.0806402700644345,-0.0265748509329215,0.494916628102351,0.423512498895249,0.578359480325006,0.15,0.75,0.944430068470894,13,"other"
"CA-ER1_2013","CA-ER1",2013,"hay",-0.0223924768447293,-0.0516534047024168,0.0034891134342204,0.346482585824644,0.306467394633507,0.391722527035201,0,1.3595,0.950024241206101,17,"other"
"CA-ER1_2014","CA-ER1",2014,"hay",0.0104684614527217,-0.0119106218390938,0.0272443154860798,0.271485239398953,0.203511318537064,0.362162830752256,0.005,0.395,0.408097958940559,31,"other"
"CA-ER2_2012","CA-ER2",2012,"corn",-0.073759520438481,-0.348801848267942,0.106142934541539,0.518227694001166,0.338967587735265,0.792287972499341,0,2.29,0.61467714688968,12,"corn"
"CA-ER2_2013","CA-ER2",2013,"corn",-0.0812042206774715,-0.178473761817179,0.00653519819597148,0.509411247910107,0.459500953078748,0.56474272307518,0.07,2.676,0.939880718617104,26,"corn"
"CA-ER2_2014","CA-ER2",2014,"corn",0.0363278993289315,-0.134769839850217,0.182831555050501,0.582759297970507,0.498991792457413,0.680589148968941,0,3.0235,0.888417204385609,22,"corn"
"US-Br1_2010","US-Br1",2010,"soybean",0.0034405733575856,-0.015109442414733,0.0189965606039296,0.238658328482218,0.200138154040994,0.284592400818585,0,0.9135,0.952902307608831,10,"soybean"
"US-Br1_2011","US-Br1",2011,"corn",-0.0263255701251472,-0.103619329495564,0.0380632791884612,0.594820342823903,0.495509569397604,0.714035130880071,0,2.635,0.974468283825198,7,"corn"
"US-Br1_2012","US-Br1",2012,"soybean",-0.0511672829387724,-0.208463789615757,0.04664428880702,0.461195052184902,0.286784582115508,0.741674725296654,0,1.1858,0.756275951136315,8,"soybean"
"US-Br1_2013","US-Br1",2013,"corn",0.00668816963231089,-0.094677589818566,0.0935208493272037,0.435697917730539,0.373230743191559,0.50862014712785,0,2.6055,0.920296106327948,17,"corn"
"US-Br1_2014","US-Br1",2014,"soybean",-0.0235951298751552,-0.0490581849215959,-0.00211315553382001,0.291845292691856,0.246216060005818,0.345930622333824,0.0425,0.9264,0.903640853750182,17,"soybean"
"US-Br1_2015","US-Br1",2015,"corn",-0.178788779426177,-0.501364494196121,0.0663862593015467,0.631374525786545,0.479878883386536,0.83069667287504,0.094,3.059,0.864254302109805,11,"corn"
"US-Br3_2010","US-Br3",2010,"corn",0.072650384823214,-0.23224731950839,0.287072095132461,0.801448543481569,0.563624996111064,1.13962257224333,0,2.16,0.870596913824484,8,"corn"
"US-Br3_2011","US-Br3",2011,"soybean",0.0125560350732296,-0.0179370957392017,0.0372848449553407,0.230917669619968,0.187265754558871,0.284744908476863,0,1.026,0.932977750196343,10,"soybean"
"US-Br3_2012","US-Br3",2012,"corn",0.124136849417426,-0.0928065613453221,0.280044440640843,0.425943160149359,0.306106425926902,0.592694436677221,0.13,3.0178,0.886585822149697,8,"corn"
"US-Br3_2013","US-Br3",2013,"soybean",-0.00317354764719038,-0.023749891892748,0.0153751397858929,0.451862996320354,0.407335014485495,0.501258571403463,0.05,0.805,0.967127302747784,16,"soybean"
"US-Br3_2014","US-Br3",2014,"corn",0.0948420199422685,-0.150304079569571,0.271037111706108,0.406788875137734,0.292373418651683,0.565978910459582,0,2.9,0.62658424275316,17,"corn"
"US-Br3_2015","US-Br3",2015,"soybean",0.00364576968596136,-0.0214599901766031,0.0252280309159064,0.355609095196231,0.305700700965978,0.413665484530099,0.063,0.738,0.929867656678282,16,"soybean"
"US-CRT_2011","US-CRT",2011,"soybean",0.0106731558626266,-0.0327410527387105,0.0470858092510931,0.679774361528511,0.570144867455709,0.810483806779849,0,1.125,0.976353554723943,7,"soybean"
"US-CRT_2012","US-CRT",2012,"soybean",0.0782670702284906,-0.0264379406362839,0.156687663048609,0.696525104280825,0.521674284169079,0.929981092831047,0,1.125,0.870756256641853,10,"soybean"
"US-CRT_2013","US-CRT",2013,"wheat",0.00880152170038606,-0.126098180225504,0.100635188647798,0.616412229539301,0.419625800366276,0.905483019380495,0.18,1.14,0.805558663782874,9,"other"
"US-IB1_2006","US-IB1",2006,"corn",0.0312432377309875,-0.190277909221802,0.212692225179242,0.616130336100046,0.504675184104804,0.752199836685298,0.23,2.7,0.98804826850265,5,"corn"
"US-IB1_2009","US-IB1",2009,"soybean",-0.0691890491256087,-0.309169839023214,0.0292802033085684,0.179556991996718,0.0736760754008283,0.43760085210167,0.58,1.68,0.695801057955449,5,"soybean"
"US-IB1_2010","US-IB1",2010,"corn",-0.167328272322768,-0.61497475189078,0.168433143414593,0.676417138235401,0.507352981267948,0.901818185349203,0.5,2.88,0.974815850538015,5,"corn"
"US-IB2_2005","US-IB2",2005,"prairie",-0.305495889942246,-0.832110564330798,-0.00587018911866605,0.681501924959326,0.387751237877385,1.19779082141869,0.64,1.44,0.646057332228015,8,"grass"
"US-IB2_2006","US-IB2",2006,"prairie",-0.317766414983786,-1.55248505953145,0.271776163881755,0.650287574970682,0.310493581388238,1.36194097240449,0.87,2.68,0.66085454525444,6,"grass"
"US-IB2_2007","US-IB2",2007,"prairie",-0.120198381442301,-0.304494378841387,0.0159330960344263,0.455424214913714,0.336402158103461,0.616557327393789,0.33,1.76,0.905197529672517,8,"grass"
"US-IB2_2009","US-IB2",2009,"prairie",0.0703923347432873,-0.0890451126835837,0.178613971828175,0.329647273205375,0.223755260402158,0.485652603368654,0.6,1.7,0.95325853684942,5,"grass"
"US-IB2_2010","US-IB2",2010,"prairie",0.0368018396492248,-0.854195416427888,0.300453424625808,0.348654733811099,0.103169086719308,1.17826111749556,0.44,1.22,0.295892052265414,5,"grass"
"US-IB2_2011","US-IB2",2011,"prairie",-0.120568278650827,-0.496758282504075,0.121170575782539,0.57374156957434,0.368685048377328,0.892847133634588,0.37,1.53,0.738776440765474,9,"grass"
"US-KL1_2013","US-KL1",2013,"corn",0.48636636711779,0.28200785832099,0.647465932504513,0.637418616611244,0.502488801225222,0.808580194845937,0.01,2.86,0.883879671374189,12,"corn"
"US-KL2_2013","US-KL2",2013,"switchgrass",-0.00847784625539694,-0.404843254512502,0.225229086522279,0.727224297515415,0.42878958777221,1.23336758628975,0.1,1.18,0.305138885811909,13,"grass"
"US-KL3_2013","US-KL3",2013,"prairie",-0.0505922273492697,-0.342127306291733,0.150551168241479,0.644386053244976,0.444591434043501,0.933966230163597,0.1,1.6,0.672591916550731,13,"grass"
"US-KM1_2013","US-KM1",2013,"corn",0.0998571093295972,-0.0340802245240538,0.206982283130179,0.484079312009673,0.387174202593617,0.605238620615737,0.01,2.74,0.897813841309682,12,"corn"
"US-KM2_2013","US-KM2",2013,"prairie",-0.130922904884943,-0.312376327040773,0.0144188722491994,1.03908715550097,0.832294987790723,1.29725894372271,0.05,1.75,0.899169916190637,12,"grass"
"US-KM3_2013","US-KM3",2013,"switchgrass",0.0206718837499423,-0.0752166535624731,0.102708245327271,0.579827809077854,0.4960651724525,0.677734110052277,0.05,1.72,0.944273503939223,13,"grass"
"US-KM4_2013","US-KM4",2013,"prairie",0.103736134784373,-0.173609807595452,0.272103195841439,0.577833771297253,0.350782755348926,0.951848008946394,0.1,1,0.385763146361247,13,"grass"
"US-Ne1_2002","US-Ne1",2002,"corn",-0.197651011101642,-0.490466942289789,0.0162014441371149,0.44607225491163,0.325780248839829,0.610781216204963,0.1,3.3,0.872239672907669,9,"corn"
"US-Ne1_2003","US-Ne1",2003,"corn",-0.210942507821304,-0.762302377881344,0.108499770637431,0.396722742547098,0.229849910516415,0.684746555265029,0.2,2.8,0.751287040000974,7,"corn"
"US-Ne1_2004","US-Ne1",2004,"corn",-0.0567540845750103,-0.371628147730363,0.154524320807521,0.328116385927167,0.220163916023684,0.489000943743771,0.3,3,0.873010013820844,7,"corn"
"US-Ne1_2005","US-Ne1",2005,"corn",-0.208273997769886,-0.499992775630087,-2.46718217644659e-05,0.396089272446275,0.282756305943896,0.554847791009649,0.2,2.8,0.881777986495045,8,"corn"
"US-Ne1_2006","US-Ne1",2006,"corn",-0.286437721587516,-0.5100874322313,-0.10939942474953,0.444162453716002,0.351593409617709,0.561103478889223,0.4,3,0.944258233990912,8,"corn"
"US-Ne1_2007","US-Ne1",2007,"corn",-0.202244984028439,-0.391882871424374,-0.0528655371552242,0.413913971792888,0.326043708926292,0.525465670261085,0.3,3,0.941845891277841,8,"corn"
"US-Ne1_2008","US-Ne1",2008,"corn",-0.104105543158338,-0.295517111879102,0.0385151758731295,0.347721737944814,0.259087392784015,0.466678080087662,0.1,2.7,0.843292774964046,11,"corn"
"US-Ne1_2009","US-Ne1",2009,"corn",-0.165373347537214,-0.372055715095776,-0.00680417117252152,0.364264147721997,0.279467796724835,0.474789477967217,0.2,3.2,0.891862112064737,10,"corn"
"US-Ne1_2010","US-Ne1",2010,"corn",-0.171770914152369,-0.443452074095198,0.00792293397159077,0.305449902748349,0.202028982964775,0.461813160269402,0.2,2.7,0.818782547980269,8,"corn"
"US-Ne1_2011","US-Ne1",2011,"corn",-0.0742717672153393,-0.217129278726717,0.0361819488375681,0.347823959447802,0.26892844798144,0.449865039098786,0,2.7,0.915306986010112,9,"corn"
"US-Ne1_2012","US-Ne1",2012,"corn",-0.0944915836601591,-0.219849095721672,0.000767578998482898,0.309519501257407,0.2352038424457,0.407316141872771,0,2.6,0.864048266472468,11,"corn"
"US-Ne2_2002","US-Ne2",2002,"soybean",-0.019494224820702,-0.184917137829806,0.0869300744027806,0.514477826852904,0.330987655777934,0.799689745834118,0.1,1,0.938539010264152,5,"soybean"
"US-Ne2_2003","US-Ne2",2003,"corn",-0.0893091854727033,-0.501093785146107,0.22967508813098,0.606614916306533,0.469907370476383,0.783094030452278,0.2,2.9,0.965421817847011,6,"corn"
"US-Ne2_2004","US-Ne2",2004,"soybean",NA,-0.288239294264093,0.253865237872558,NA,0.0731129709294134,1.04115677831629,0.1,0.9,0.088370116206277,5,"soybean"
"US-Ne2_2005","US-Ne2",2005,"corn",-0.0696247279192685,-0.365112907150884,0.149815917399013,0.513646059182437,0.381452899352147,0.691650986430398,0.2,2.7,0.972992187912558,5,"corn"
"US-Ne2_2006","US-Ne2",2006,"soybean",0.0645235849150082,-0.0241864301974646,0.13055681548425,0.403620996629526,0.300444073865086,0.542230395242765,0.1,1.1,0.865033561802049,10,"soybean"
"US-Ne2_2007","US-Ne2",2007,"corn",-0.121427632883135,-0.305709815874575,0.0321622192112865,0.548917045283794,0.45749451427521,0.658608820873937,0.3,3.1,0.990059423048814,5,"corn"
"US-Ne2_2008","US-Ne2",2008,"soybean",0.069759914909545,-0.0500974753313032,0.141780611409095,0.437458667567079,0.262863039689383,0.728022037847923,0.1,0.9,0.716741199581778,8,"soybean"
"US-Ne2_2009","US-Ne2",2009,"corn",-0.175316779750292,-0.338968564483766,-0.0355054581847702,0.552723228221233,0.472203618942661,0.646972947177684,0.2,3.3,0.956040578222619,11,"corn"
"US-Ne2_2010","US-Ne2",2010,"corn",-0.0515566833342681,-0.326445709870324,0.154091870791278,0.612328262114132,0.458091846519973,0.818495032016174,0.2,2.6,0.95506027093443,6,"corn"
"US-Ne2_2011","US-Ne2",2011,"corn",-0.0995069224259538,-0.250223639486389,0.0269181199209819,0.59574613795413,0.499727118450128,0.710214530658258,0,2.8,0.983806094374121,6,"corn"
"US-Ne2_2012","US-Ne2",2012,"corn",-0.0690162187111996,-0.240980206825152,0.0653089773225795,0.557913190029979,0.435799375453816,0.714244088315391,0,2.6,0.967687801259141,6,"corn"
