"YR","DOY","HR","Time.id","USTAR_1","WS_1","W_SIGMA_1","MO_LENGTH_1","WD_1","z0d","hc","zm_1"
2011,1,0.5,2011.000057,0.586,3.256,-9999,329.639122906642,351.775,-9999,-9999,32
2011,1,1,2011.000114,0.585,3.142,-9999,399.726835959151,344.295,-9999,-9999,32
2011,1,1.5,2011.000171,0.468,2.889,-9999,271.424286151646,355.389,-9999,-9999,32
2011,1,2,2011.000228,0.5,2.868,-9999,216.88276191228,352.96,-9999,-9999,32
2011,1,2.5,2011.000285,0.382,2.356,-9999,162.726893289513,26.494,-9999,-9999,32
2011,1,3,2011.000342,0.477,2.821,-9999,325.973980960828,3.634,-9999,-9999,32
2011,1,3.5,2011.000398,0.58,2.91,-9999,543.721117113134,357.052,-9999,-9999,32
2011,1,4,2011.000455,0.425,2.523,-9999,383.253164679247,359.241,-9999,-9999,32
2011,1,4.5,2011.000512,-9999,-9999,-9999,-9999,-9999,-9999,-9999,32
2011,1,5,2011.000569,0.66,3.213,-9999,506.155784916185,1.593,-9999,-9999,32
2011,1,5.5,2011.000626,0.6,3.068,-9999,832.381925928633,7.857,-9999,-9999,32
2011,1,6,2011.000683,0.625,2.964,-9999,1115.29082066914,3.29,-9999,-9999,32
2011,1,6.5,2011.00074,0.675,3.122,-9999,850.236188016242,13.492,-9999,-9999,32
2011,1,7,2011.000797,-9999,-9999,-9999,-9999,-9999,-9999,-9999,32
2011,1,7.5,2011.000854,0.824,3.273,-9999,1795.7278499029,26.891,-9999,-9999,32
2011,1,8,2011.000911,0.697,3.313,-9999,963.720705091696,32.484,-9999,-9999,32
2011,1,8.5,2011.000968,0.57,2.898,-9999,1719.82122840629,22.244,-9999,-9999,32
2011,1,9,2011.001025,0.583,2.921,-9999,574.504531462186,26.155,-9999,-9999,32
2011,1,9.5,2011.001082,0.58,2.908,-9999,464.369790285556,38.522,-9999,-9999,32
2011,1,10,2011.001138,0.768,4.248,-9999,408.095740946895,66.479,-9999,-9999,32
2011,1,10.5,2011.001195,0.768,3.495,-9999,1828.42189738691,83.102,-9999,-9999,32
